Movie,Year,Subtitle,Trailer Subtitle
Doctor Strange,2016,https://yifysubtitles.org/subtitles/doctor-strange-2016-english-yify-13623,"Dr. Strange
You think you know how the world works.
What if I told you, the reality you know is one of many?
This doesn't make any sense.
Not everything does. Not everything has to.
Through the mystic arts, we harness energy and shape reality.
We travel great distances in an instant.
How do I get from here to there?
How did you become a doctor? Study and practice. Years of it.
There's a strength to him. But is he ready?
Be careful which path you travel down, Strange. Stronger men than you have lost their way.
I am death...
..and pain.
You'll die protecting this world.
I can't do this.
There is no other way.
I've spent so many years,
peering through time.
Looking...
for you.
So what's this? My mantra?
It's the WiFi password. We're not savages."
Captain America Civil War,2016,https://yifysubtitles.org/subtitles/captain-america-civil-war-2016-english-yify-10087,"Buck
Do you remember me?
Your mom's name was Sarah.
And you used to wear newspapers in your shoes
You're a wanted man.
I don't do that anymore.
Well, the people who think you did are coming right now...
...and they're not planning on taking you alive.
Captain
While a great many people see you as a hero...
...there are some who prefer the word vigilante.
You have operated with unlimited power and no supervision.
That's something the world can no longer tolerate.
I know how much Bucky means to you.
Stay out of this one,
please.
You will only make this worse.
You're saying you'll arrest me?
There will be consequences.
Captain... You seem a little defensive.
Well, it's been a long day.
If we can't accept limitations, we're no better than bad guys.
That's not the way I see it.
I am so tempted, I wanna punch you in your perfect teeth.
I just wanna make sure we consider all our options.
Cause people who shoot at you usually wind up shooting at me, too.
You know what's about to happen?
Do you really want to punch your way out of this?
What do we do?
We fight.
Sorry Tony.
You know I wouldn't do this if I had any other choice,
but he's my friend.
So was I."
Ant-Man,2015,https://yifysubtitles.org/subtitles/ant-man-2015-english-yify-15759,"imagine a soldier the size of an insect
the ultimate secret weapon you give that
like powers to everyone it's gonna be
chaos so how do we stop him like know a
guy
Scott I've been watching you for a while
you're different and I believe everyone
deserves a shot and redemption to you
absolutely my days of breaking into
places and stealing stuff are over
what do you want me to do I want you to
break into a place and steal some stuff
make sense are you ready to become the
hero now this suit has power
you have to learn how to control it
and these are your greatest allies
you're kind of cute
when you're small you have superhuman
strength
you like a bullet
so you need to know how to punch you
make sure we had a bunch show me how to
party that's how you punch you tried to
hide your suit from me now it's gonna
blow up in your face and destroy
everyone you care about
suck it out of there
did you think you could stop the future
you're just a thing
a man man I know wasn't my idea
you
"
Avengers Age of Ultron,2015,https://yifysubtitles.org/subtitles/avengers-age-of-ultron-2015-english-yify-242720,"I'm gonna show you something beautfiul
Everyone screaming...
For mercy
You want to protect the world
But you don't want it to change
You're all puppets
Tangled in...
Strings
Strings
♫"" I've got no strings, to hold me down"" ♫
♫ ""To make me fret..."" ♫
♫ ""Or make me frown"" ♫
♫ ""I had strings, but now I'm free"" ♫
It's the end
The end of the path I started us on
Nothing lasts forever
♫ ""I had strings, but now I'm free"" ♫
There are...
No strings on me"
Guardians of the Galaxy,2014,https://moviesubtitlesrt.com/hollywood/guardians-of-the-galaxy-2014-english-subtitles-download/,"Oh No yeah hey go man no prob
no problem at all
star-lord who star-lord man legendary
out Locke forget we arrested these five
bonds and our check out the rap sheets
Drax aka the destroyer since his wife
and family were killed he's been on a
rampage across the galaxy in a search
for vengeance Gamora soldier assassin
wanted on over a dozen counts of murder
rocking one on over 50 charges of
vehicular theft and escaped from lockup
what how roots it's been traveling
recently as Rockets personal houseplant
slash muscle
Peter Jason quill he's also known as
star-lord he calls him at himself mostly
he's wanted largely on charges of minor
assaults public intoxication and fraud
oh I'm sorry I I didn't know how this
machine worked
hey hey hey that's mine
hey take those headphones on right now
they call themselves the guardians of
the galaxy and a bunch of a hos
got your
love will me hug down a feeling"
Captain America The Winter Soldier,2014,https://yifysubtitles.org/subtitles/captain-america-the-winter-soldier-2014-english-yify-244490,"coming up on the drop zone cap you do
anything funny Saturday night well all
the guys in my barbershop quartet are
dead so no not really you know if you
ask Kristen out from Statistics you'd
probably say yes that's why don't ask
too shy or too scared too busy was he
wearing a parachute no no he wasn't
[Music]
join shield to protect people captain to
build a better world sometimes means
tearing the old one down that makes
enemies
are you ready for the world to see you
as you really are
look out the window you know how the
game works
disorder war
all it takes is one step
we will neutralize a lot of threats
before they even happen
I thought the punishment usually came
after the crime shield takes the world
as it is not as we'd like it to be this
isn't freedom this is fear
you need to keep both eyes open before
we get started does anyone want to get
out
your work has been a gift to mankind
you've shaped the century
I need you to do it one more time
you uh it's time
you"
Thor The Dark World,2013,https://yifysubtitles.org/subtitles/thor-the-dark-world-2013-english-yify-76146,"after all this time now you come to
visit me brother why
[Music]
- mock I need your help I wish I could
trust you
if you did you'd be the fool I always
took you for
some believe that before the universe
there was nothing there wrong there was
darkness and it has survived
I gave you my word I would return for
you
[Music]
face an enemy run into a few known only
to one you must be truly desperate to
come to me how if we do nothing they
will destroy us
you even think about betraying him I'll
kill you
that was for New York
your bravery will not ease your pain
you family
we'll be extinguished
we're running out of time
the very fabric of reality can be torn
apart
find a way to save us all
Oh yours
anyone else"
Iron Man 3,2013,https://yifysubtitles.org/movie-imdb/tt1300854 ,"I've got a lot of apologies to make.
Nothing has been the same since New York.
You experience things, and then they're over.
I can't sleep.
And when I do, I have nightmares.
Honestly, there's a hundred people who wanna kill me.
I hope I can protect the one thing I can't live without.
Ladies.
Children.
Sheep.
Some people call me a terrorist.
I consider myself a teacher.
Lesson number one.
Heroes ... there is no such thing."
The Avengers,2012,https://yifysubtitles.org/subtitles/the-avengers-2012-english-yify-81257,"director fury I think it's time I think
you're the only superhero in the world
become part of a bigger universe just
don't know let's do a head count here
genius billionaire playboy
philanthropist is privatize world peace
the super soldier living legend who kind
of lives up to the legend a demigod a
[Music]
couple of the master assassins and a man
with breathtaking anger-management
issues and I'm a huge fan of the way you
lose control and turn into an enormous
green rage monster
Thanks it's called the Avengers
initiative that's what we call ourselves
so like a team we're not a team we're
time bombs
how about that how desperate are you
that you call on such lost creatures to
defend you you have made me very
desperate
[Music]
what you asked me to do
[Music]
we are good
[Music]
we have a fork
[Music]
[Applause]
[Music]
we can't protect the Earth you can be
damn well sure we'll avenge it
[Music]"
Captain America: The First Avenger,2011,https://moviesubtitlesrt.com/hollywood/captain-america-2011-english-subtitles-download/,"Rogers Stephen
just give me a chance sorry son saving
your life general Hammond has said that
wars are fought with weapons but they
are won by man
you just don't know when to give up do
you I could do this all day create the
greatest army in history I should be
going with you
look I know you don't think I can do
this it's in the back alleys Stevens boy
every army begins with one man five
tries in five different cities I can
offer you a chance he will be the first
in a new breed of super-soldier
because the Beekman Joseph any
Australian was a valuable that wasn't so
bad
that was penicillin we are one winners
war because we have the best man
now mr. Stahr
hey personally
or in off if we get into
your task won't be simple
who the hell are the [ __ ] up money
your enemy is not what you expect
no if I can do this
this is how you control
how do you think I think it works"
Thor,2011,https://yifysubtitles.org/subtitles/thor-2011-english-yify-87808,"without it I think you want to see this
death stretching me Thor was so quick
what he was freaking me out where did he
come from name he said it was Thor
you have her crazy homeless person he's
pretty cut an entire box of pop-tarts be
this hungry your ancestors called it
magic did you call it science well I
come from a place but everyone in the
same you'll see soon enough god I hope
you're not crazy
you swear to God the lives of the
innocent and preserve the peace I swear
I will destroy the kind you can't kill
an entire race and die with them these
people are innocent I have no plans to
die today
I will return
you don't know but your actions would
unleash"
Iron Man 2,2010,https://yifysubtitles.org/subtitles/iron-man-2-2010-english-yify-90284,"Could we pick up now where we left off
Mr.Stark,please
Yes,dear
Can i have your attention?
Absolutely. Our priority here is to have you turn over the iron man
weapon to the American people
Well, you can forget it.
We're safe. America is secure. you want my property you cant have it
But I did you a big favor
I've successfully privatised world peace.
We're adjourned for today.
You've been a delight.
Okay, give me a smooch for good luck or I might not make it back
Go get him,boss
You complete me.
You come from a...
family of
deeps and butchers
and now like world guilty man would like
to re-write our history
and you forget all the lives the Stark family
has destroyed
They would deploy the walter
and the sharks would come
ha ha ha"
The Incredible Hulk,2008,https://yifysubtitles.org/subtitles/the-incredible-hulk-2008-english-yify-99197,"I've got a problem there are aspects of
my personality that I can't control
see your shrink it's a little bit more
complicated than that
Bruce trust me when I tell you I've
heard of mom not this one
we've never seen anything even close to
your level of exposure that you survived
an event like that it's beyond my
comprehension I don't want to control it
I want to get rid of it cause I'm
concerned that man's whole body is
property the US Army
they want it as a weapon if we let it go
we will never get it back
there's only one thing that can fight
that it's in me maybe if I can control
it I can use it
[Music]
[Music]"
Iron Man,2008,https://yifysubtitles.org/subtitles/iron-man-2008-english-yify-97861,"[Music]
no one's allowed to talk at that it can
talk no you could timid ate them good
god you're a woman is it better to be
feared or respected I say is it too much
to ask for both I humbly present the
Jericho Tony Stark now you work for me
what are you building stock
[Music]
your eyes are red your tears for your
long-lost boss tears of joy I hate job
hunting
yeah vacations are one welcome home so
put up the scanner with I want to
protect the people I put in harm's way
I'm done with a dozen piece and do it
all the vision yeah I can fly
let's see if this dog
so you upgrade is complete tell you what
for a little hot rod read in there
[Music]
[Applause]
let's face it this is not the worst
thing you've caught me doing there's
been speculation that I'm parading
around some superhero I'm just not the
hero type clearly"
X-Men Dark Phoenix,2019,https://moviesubtitlesrt.com/hollywood/x-mendark-phoenix-2019-english-subtitles-download/,"Why did you make me do that?
Look at me focus on my voice. I'm not giving up on you Jean. She was my friend
You're my family James no matter what
Stop stop stop
Look
You're special gene
and if you stop fighting that force inside you
(soundtrack music)
To embrace it
(explosion)
He will possess the very power of a God
(strange background sound)
she will kill us all
Tell me how we fix this trough tell me what to do now don't know what to do
No, they don't understand they fear and what they fear we seek to destroy
It's your fault Charles tries to protect our I'm scared
When I lose control bad things happen to people I punch
The girl dies. She's still June we can still help her
Sometimes you want to believe people are something that they are not well it'll mean Venus who they are
It's too late
She's coming
"
Deadpool 2,2018,https://yifysubtitles.org/subtitles/deadpool-2-2018-english-yify-4608,"We gettin' close!
DEADPOOL: You all know the drill!
Intercept the convoy.
And watch out for Cable!
Hit it!
There's this kid, he's in trouble...
Move or die.
DEADPOOL: Pump the hate brakes, Thanos.
I ain't lettin' Cable get to him,
but I can't do this alone.
We need backup.
We're gonna form a super-duper fucking group.
It's time to get back on LinkedIn.
Meet Bedlam.
My name's Shatterstar.
Domino.
-I'm lucky. -(COCKS GUN AND FIRES)
DEADPOOL: Luck isn't a superpower.
And certainly not very cinematic.
-Yes, it is. -DEADPOOL: Let's meet
in the middle and say ""No, it isn't.""
Fuck it. It's showtime.
Whoo!
CABLE: You're no fucking hero.
You're just a clown,
dressed up as a sex toy.
So dark.
You sure you're not from the DC Universe?
DEADPOOL: Bring it on, One-Eyed Willie.
Your bullets, they're really fast!
Last but not least...
Peter.
DEADPOOL: Any power you wanna tell us about?
I don't... I don't have one.
Um, I just saw the ad.
DEADPOOL: You're in."
Logan,2017,https://yifysubtitles.org/subtitles/logan-2017-english-yify-7555,"Hello
You know you gotta pay for that, right?
Hey
Come on
Not OK!
We got ourself an X-Men fan
Maybe a quarter of what happened...
...but not like this
In the real world people die
- Logan - I don't want to talk about it
- Logan -Just stop!
Be careful...
I need the girl
What girl?
Go get her
No
No
No!
She's like you
Very much like you
I am not whatever it is you think I am
She needs our help
Someone will come along
Someone has come along
This is what life looks like
People who love each other
A home
You should take a moment
Feel it
You still have time"
X-Men Apocalypse,2016,https://yifysubtitles.org/subtitles/x-men-apocalypse-2016-english-yify-12718,"I saw the end of the world
i could feel all this death
Jean .. it was just a dream
(You wandered through the willows In the forest you have found)
I have been called many things over many lifetimes
(Trying to hide)
RAH .. KRISHNA .. YAHWEW
every since the world found out about mutants there have been secret socites .. who see them in some kind of second coming or sign of god
they believe that tens of thousands of years ago an ancient being was born .. the world's first ..
.. mutant
you are all my children
and you are lost ..
.. because you follow blind leaders
but i am here now
i'm here .. for you
wherever this being was, he always have four followers, he would imbue with power
like the four horsemen of the apocalypse .. he got that one from the bible
or the bible got it from him
what is it
ohh god
he can control all of us
Charles
the world needs the x-men
that is why i am here ..
.. to fight
not all of us can controll our powers
then don't ..
.. this is war
everything they built ..
.. will fall
and from the ashes of their world ..
.. we will build a better one
i've never felt power like this before"
Deadpool,2016,https://yifysubtitles.org/subtitles/deadpool-2016-english-yify-280634,"I love you, Wade Wilson. We can fight this.
You're right, the cancer's only in my
liver, lungs, prostate and brain
All things I can live without
What if I told you, we can make you better?
You're a fighter, we can give you abilities...
...most men only dream of
Make you a superhero
You just promise, you'll do right by me
So, I can do right by someone else
And please don't make the super suit green...
...or animated!
One thing that never survives this process...
...is the sense of humor
Yeah we'll see about that, posh spice
Aww, come on, you're gonna leave me here with less angry Rosie O'Donald?
♪ Hey, yeah. I wanna shoop, baby ♪
♪ you're stacked 'specially in the back ♪
♪ Brother, wanna thank your ♪ ♪ mother for a butt like that ♪
♪ You're a shotgun - bang! ♪ ♪ What's up with that thang? ♪
♪ I wanna know how does it hang? ♪
♪ Straight up, wait up, hold up, Mr. Lover ♪
♪ Like Prince said you're a sexy mutha- ♪
Wait!
You may be wandering why the red suit?
Well that's so bad guys can't see me bleed
This guy's got the right idea
He's wore the brown pants
Queue the music
♪ X gon give it to ya ♪
♪ Wait for you to get it on your own ♪
What the--
♪ X gon deliver to ya ♪
♪ Break bread wit the enemy ♪
♪ But no matter how many cats I break bread wit ♪
♪ I'll break who you sendin' me ♪
It reek like old lady pants in here
BLIND AL: Why such a douche this morning?
God, you are hard to look at
You look like a topographical map of Utah
Exactly
♪ I'm gettin down, down ♪
♪ Make it say freeze ♪
♪ But won't be the one endin' up on his knees ♪
♪ Please, If the only thing you cats did is come out to play ♪
♪ Stay out my way-- ♪
I am very turned on right now
♪ X gonna give it to ya ♪
♪ He gonna give it to ya ♪
You are haunting!
You look like an avocado had sex with an older avocado
Thank you
Greetings, Munchkins
Did you like that does of green band goodness?
Hankering for a little more action?
Some big boy curse words, maybe?
Check out deadpoolwebsite.com for my red band trailer
Make sure to ask your mommy and tell her to call me
She's got the number"
X-Men Days of Future Past,2014,https://yifysubtitles.org/subtitles/x-men-days-of-future-past-2014-english-yify-64944,"Oh
[Music]
what's the last thing you remember
glimpse into the past
[Music]
you've got to have to do for me what I
once did for you
[Music]
you'll need me as well
[Music]
side by side to end this war
before it ever begins so wake up Lion
body in them what find me
convince me all of this it's good to
take the turbos then where do I find you
but different paths that darker pass him
Melvin I was a very different man
leave me
[Music]
it
[Music]
patience isn't my strongest suit
I hope won't your suffering
but what your future
please we need you to hope again
[Applause]
[Music]"
